"LOJA","NM_LOJA","DT_VENDA","MES_VENDA","ANO_VENDA","SKU","SKU_DESC","CLIENTE","CEP","VENDA"
29,"Uberlandia","2020-02-19",2,2020,14914695560000,"Cap PVC 40x60 Osso Pegada Pt","736437XXXXXXXXXXXXXX",38408190,1.99
29,"Uberlandia","2020-02-29",2,2020,90559203000000,"Capacete Cinza Aba Frontal Delta Plus","14X5214979XXXXXXXXXX",75795000,0.33
29,"Uberlandia","2020-02-15",2,2020,14914250360000,"Kit Vaso Sanit C/Cx 3/6L Vert Quadra Br","23X577XXXXXXXXXXXXXX",75709335,56.08
32,"São Leopoldo","2020-02-28",2,2020,14921149900000,"MANTA AXTON 2MM 20,4M2","143757975XXXXXXXXXXX",93220146,20.91
33,"Londrina","2019-02-27",2,2019,14646507100000,"Lavat P/Coluna Sabara 46x35Cm Br Icasa","1414214772XXXXXXXXXX",86047250,31.39
34,"São José do Rio Preto","2020-02-02",2,2020,14914916900000,"PORC ESM PO RET INT 84X84 NUAGE M2 ART","14314741453XXXXXXXXX",15430000,53.48
36,"BH Norte","2020-02-15",2,2020,14914706550000,"PORC ESM AC RET INT58,5X58,5 POSI M2 ART","39251474XXXXXXXXXXXX",31910540,17.52
36,"BH Norte","2020-02-03",2,2020,14974452200000,"GUARNICAO SALIGNA NATURAL 90X48X1MM","6463753XXXXXXXXXXXXX",33200000,95.12
39,"São José","2020-02-22",2,2020,14142214301000,"PISO BR INT 50X50 WH 511090/51500 M2","144X97729XXXXXXXXXXX",88036020,14.28
39,"São José","2020-02-21",2,2020,14914453640000,"CORDAO ESTILO N°16 2,40M","36456147XXXXXXXXXXXX",88015530,-26.84
39,"São José","2020-02-18",2,2020,14712596200000,"ARG ACIII INT/EXT CINZA 20KG VOT","144995437XXXXXXXXXXX",88107020,29.74
39,"São José","2020-02-07",2,2020,14991052000000,"REV AC BOLD INT 32X54 6013 M2","4261474XXXXXXXXXXXXX",88040446,7.88
41,"Anália Franco","2020-02-04",2,2020,14929616500000,"ARG ACI CZ 20KG AXTON","141456X529XXXXXXXXXX",3268020,1.49
41,"Anália Franco","2019-02-22",2,2019,14776720400000,"Ombrelone Central Alu Garden Bege 2,5m","14474666XXXXXXXXXXXX",3638000,49.69
